Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
WS,/api/v1/guide/ws/crowd,36,0,8,9.167955554504362,7.4436000431887805,29.683100001420826,1772.0833333333333,1.237549448415167,0.0,8,8,9,9,12,13,30,30,30,30,30
GET,GET /api/v1/experiences,27,0,6,9.194088890648413,5.272499984130263,46.881499991286546,1147.0,0.9281620863113752,0.0,6,8,9,9,14,21,47,47,47,47,47
GET,GET /api/v1/experiences/[id]/sessions,5,0,22,21.758839988615364,15.93009999487549,29.85599997919053,761.0,0.17188186783543985,0.0,22,23,23,30,30,30,30,30,30,30,30
GET,GET /api/v1/reservations,57,0,15,19.27343684171016,13.848099973984063,111.65770003572106,621.0,1.9594532933240143,0.0,15,17,18,22,25,32,37,110,110,110,110
GET,GET /api/v1/shop/orders,52,0,16,17.68098654261289,14.4455999834463,40.17220000969246,730.0,1.7875714254885744,0.0,16,17,17,18,23,28,38,40,40,40,40
GET,GET /api/v1/shop/products,27,0,14,20.745737046969158,11.69429998844862,64.28310001501814,1623.0,0.9281620863113752,0.0,14,16,21,28,45,52,64,64,64,64,64
GET,GET /api/v1/ticketing/orders,54,0,17,18.679112962369498,15.687100007198751,40.37090000929311,514.0,1.8563241726227504,0.0,17,17,18,19,24,29,34,40,40,40,40
GET,GET /api/v1/ticketing/slots,5,0,72,77.8058800031431,36.073499999474734,108.79889997886494,949.0,0.17188186783543985,0.0,72,100,100,110,110,110,110,110,110,110,110
GET,GET /api/v1/ticketing/types,29,0,4,11.459010342087854,2.696799987461418,133.51620000321418,751.0,0.9969148334455511,0.0,4,4,6,7,39,49,130,130,130,130,130
POST,POST /api/v1/auth/login,5,0,390,372.9152999818325,200.80190000589937,503.9237999590114,1051.0,0.17188186783543985,0.0,390,440,440,500,500,500,500,500,500,500,500
POST,POST /api/v1/reservations,5,0,170,185.8975800103508,116.38530000345781,292.0897000003606,570.0,0.17188186783543985,0.0,170,210,210,290,290,290,290,290,290,290,290
POST,POST /api/v1/reservations/[id]/confirm,5,0,88,181.5645799972117,35.78979999292642,496.4860999607481,575.0,0.17188186783543985,0.0,88,210,210,500,500,500,500,500,500,500,500
POST,POST /api/v1/shop/cart/checkout,5,0,140,139.4040400045924,73.85440001962706,217.35699998680502,669.0,0.17188186783543985,0.0,140,150,150,220,220,220,220,220,220,220,220
POST,POST /api/v1/shop/cart/items,5,0,110,110.56333999149501,80.4473000462167,147.72239996818826,435.0,0.17188186783543985,0.0,110,110,110,150,150,150,150,150,150,150,150
POST,POST /api/v1/shop/orders/[id]/pay,5,0,72,65.55275999708101,30.886300024576485,86.08129998901859,684.0,0.17188186783543985,0.0,72,81,81,86,86,86,86,86,86,86,86
POST,POST /api/v1/ticketing/orders,5,0,290,308.0708800232969,162.6994000398554,517.1970000374131,375.0,0.17188186783543985,0.0,290,350,350,520,520,520,520,520,520,520,520
POST,POST /api/v1/ticketing/orders/[id]/pay,5,0,72,95.39550000336021,31.982599990442395,228.6735000088811,468.0,0.17188186783543985,0.0,72,110,110,230,230,230,230,230,230,230,230
,Aggregated,332,0,16,37.02423433844752,2.696799987461418,517.1970000374131,886.0301204819277,11.412956024273207,0.0,16,17,22,28,81,160,330,440,520,520,520
