Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
WS,/api/v1/guide/ws/crowd,30,0,10,10.079296672483906,7.94429995585233,14.361600042320788,1783.8,1.0657866514654144,0.0,10,10,10,11,14,14,14,14,14,14,14
GET,GET /api/v1/experiences,28,0,7,11.355167857670624,5.689200013875961,47.1916000242345,1147.0,0.9947342080343867,0.0,7,8,8,11,28,43,47,47,47,47,47
GET,GET /api/v1/experiences/[id]/sessions,5,0,34,35.52647997858003,16.285999969113618,60.104999982286245,761.0,0.17763110857756906,0.0,34,38,38,60,60,60,60,60,60,60,60
GET,GET /api/v1/reservations,60,0,16,21.482876660108257,13.351100031286478,168.0894999881275,621.0,2.131573302930829,0.0,16,18,18,20,21,23,140,170,170,170,170
GET,GET /api/v1/shop/orders,48,0,17,21.994924994942266,13.644599996041507,185.95119996462017,737.0,1.705258642344663,0.0,17,19,19,20,24,29,190,190,190,190,190
GET,GET /api/v1/shop/products,28,0,14,20.49267142761632,11.734100000467151,76.2010999605991,1623.0,0.9947342080343867,0.0,14,16,21,21,46,49,76,76,76,76,76
GET,GET /api/v1/ticketing/orders,47,0,20,21.047070207559763,15.611100010573864,62.502299959305674,515.0,1.6697324206291493,0.0,20,21,22,22,23,25,63,63,63,63,63
GET,GET /api/v1/ticketing/slots,5,0,50,48.049239988904446,22.54709997214377,72.85940001020208,949.0,0.17763110857756906,0.0,50,50,50,73,73,73,73,73,73,73,73
GET,GET /api/v1/ticketing/types,28,0,5,10.056539291066915,3.958099987357855,96.59670002292842,751.0,0.9947342080343867,0.0,5,6,7,8,17,20,97,97,97,97,97
POST,POST /api/v1/auth/login,5,0,350,276.91845998633653,81.79889997700229,367.7984999958426,1051.0,0.17763110857756906,0.0,350,360,360,370,370,370,370,370,370,370,370
POST,POST /api/v1/reservations,5,0,110,107.60805996833369,53.61179995816201,136.93639996927232,570.0,0.17763110857756906,0.0,110,120,120,140,140,140,140,140,140,140,140
POST,POST /api/v1/reservations/[id]/confirm,5,0,84,73.8551199901849,29.9832999589853,90.46849998412654,575.0,0.17763110857756906,0.0,84,88,88,90,90,90,90,90,90,90,90
POST,POST /api/v1/shop/cart/checkout,5,0,130,129.92868000874296,48.111400043126196,172.85039997659624,676.0,0.17763110857756906,0.0,130,160,160,170,170,170,170,170,170,170,170
POST,POST /api/v1/shop/cart/items,5,0,120,101.99420000426471,38.2687000092119,139.5259000128135,442.0,0.17763110857756906,0.0,120,120,120,140,140,140,140,140,140,140,140
POST,POST /api/v1/shop/orders/[id]/pay,5,0,69,68.82605999708176,33.45579997403547,107.7876000199467,691.0,0.17763110857756906,0.0,69,91,91,110,110,110,110,110,110,110,110
POST,POST /api/v1/ticketing/orders,5,0,210,210.0502800079994,51.60549998981878,361.1217000288889,376.0,0.17763110857756906,0.0,210,310,310,360,360,360,360,360,360,360,360
POST,POST /api/v1/ticketing/orders/[id]/pay,5,0,67,75.11173998937011,41.891500004567206,119.51119999866933,469.0,0.17763110857756906,0.0,67,97,97,120,120,120,120,120,120,120,120
,Aggregated,319,0,17,32.75543698755627,3.958099987357855,367.7984999958426,883.2068965517242,11.332864727248905,0.0,17,20,22,27,82,130,210,350,370,370,370
